"Time","get_range / B","get / B","head / B","list / A","put / A"
2026-04-28 14:08:00,0,0,0,20.0,0
2026-04-28 14:09:00,1.33,336,0,42.7,6.67
2026-04-28 14:10:00,1.33,336,0,42.7,6.67
2026-04-28 14:11:00,1.33,336,0,42.7,6.67
2026-04-28 14:12:00,1.33,261,0,25.3,0
2026-04-28 14:13:00,2.67,261,0,25.3,0
2026-04-28 14:14:00,2.67,261,0,25.3,0
2026-04-28 14:15:00,1.33,0,0,20,0
2026-04-28 14:16:00,0,0,0,20,0
2026-04-28 14:17:00,0,0,0,20,0
2026-04-28 14:18:00,0,0,0,20,0
2026-04-28 14:19:00,0,0,0,20.0,0
2026-04-28 14:20:00,0,0,0,20.0,0
2026-04-28 14:21:00,1.33,341,0,42.7,6.67
2026-04-28 14:22:00,1.33,341,0,42.7,6.67
2026-04-28 14:23:00,4.00,647,0,48.0,6.67
2026-04-28 14:24:00,2.67,305,0,25.3,0
2026-04-28 14:25:00,2.67,305,0,25.3,0
2026-04-28 14:26:00,0,0,0,20.0,0
2026-04-28 14:27:00,0,0,0,20.0,0
2026-04-28 14:28:00,0,0,0,20.0,0
2026-04-28 14:29:00,0,0,0,20.0,0
2026-04-28 14:30:00,0,0,0,20.0,0
2026-04-28 14:31:00,0,0,0,20,0
2026-04-28 14:32:00,0,0,0,20,0
2026-04-28 14:33:00,2.67,300,0,25.3,0
2026-04-28 14:34:00,2.67,300,0,25.3,0
2026-04-28 14:35:00,2.67,300,0,25.3,0
2026-04-28 14:36:00,0,0,0,20.0,0
2026-04-28 14:37:00,0,0,0,20.0,0
2026-04-28 14:38:00,0,0,0,20.0,0
2026-04-28 14:39:00,0,0,0,20.0,0
2026-04-28 14:40:00,0,0,0,20.0,0
2026-04-28 14:41:00,0,0,0,20.0,0
2026-04-28 14:42:00,2.67,336,0,42.7,6.67
2026-04-28 14:43:00,2.67,336,0,42.7,6.67
2026-04-28 14:44:00,2.67,336,0,42.7,6.67
2026-04-28 14:45:00,1.33,299,0,42.7,6.67
2026-04-28 14:46:00,1.33,299,0,42.7,6.67
2026-04-28 14:47:00,1.33,299,0,42.7,6.67
2026-04-28 14:48:00,0,0,0,20.0,0
2026-04-28 14:49:00,1.33,324,0,42.7,6.67
2026-04-28 14:50:00,1.33,324,0,42.7,6.67
2026-04-28 14:51:00,1.33,324,0,42.7,6.67
2026-04-28 14:52:00,0,0,0,20.0,0
2026-04-28 14:53:00,1.33,267,0,25.3,0
2026-04-28 14:54:00,1.33,267,0,25.3,0
2026-04-28 14:55:00,1.33,267,0,25.3,0
2026-04-28 14:56:00,2.67,265,0,25.3,0
2026-04-28 14:57:00,2.67,265,0,25.3,0
2026-04-28 14:58:00,4,265,0,25.3,0
2026-04-28 14:59:00,2.67,341,0,42.7,6.67
2026-04-28 15:00:00,2.67,341,0,42.7,6.67
2026-04-28 15:01:00,1.33,341,0,42.7,6.67
2026-04-28 15:02:00,0,0,0,20,0
2026-04-28 15:03:00,2.67,305,0,25.3,0
2026-04-28 15:04:00,2.67,305,0,25.3,0
2026-04-28 15:05:00,2.67,305,0,25.3,0
2026-04-28 15:06:00,0,0,0,20,0
2026-04-28 15:07:00,0,0,0,20,0
2026-04-28 15:08:00,0,0,0,20,0
2026-04-28 15:09:00,0,0,0,20,0
2026-04-28 15:10:00,0,0,0,20.0,0
2026-04-28 15:11:00,0,0,0,20.0,0
2026-04-28 15:12:00,0,0,0,20.0,0
2026-04-28 15:13:00,2.67,300,0,25.3,0
2026-04-28 15:14:00,2.67,300,0,25.3,0
2026-04-28 15:15:00,2.67,300,0,25.3,0
2026-04-28 15:16:00,0,0,0,20.0,0
2026-04-28 15:17:00,0,0,0,20.0,0
2026-04-28 15:18:00,0,0,0,20.0,0
2026-04-28 15:19:00,0,0,0,20.0,0
2026-04-28 15:20:00,0,0,0,20,0
2026-04-28 15:21:00,1.33,293,0,42.7,6.67
2026-04-28 15:22:00,5.33,591,0,65.3,13.3
2026-04-28 15:23:00,5.33,893,0,70.7,13.3
2026-04-28 15:24:00,4,600,0,48,6.67
2026-04-28 15:25:00,0,303,0,25.3,0
2026-04-28 15:26:00,0,0,0,20,0
2026-04-28 15:27:00,0,0,0,20,0
2026-04-28 15:28:00,0,0,0,20,0
2026-04-28 15:29:00,0,0,0,20.0,0
2026-04-28 15:30:00,0,0,0,20.0,0
2026-04-28 15:31:00,0,0,0,20.0,0
2026-04-28 15:32:00,0,0,0,20.0,0
2026-04-28 15:33:00,2.67,260,0,22.7,0
2026-04-28 15:34:00,2.67,260,0,16.0,0
2026-04-28 15:35:00,12.0 K,12.3 K,0,25.3,6.67
2026-04-28 15:36:00,24.0 K,24.1 K,240,26.7,6.67
2026-04-28 15:37:00,24.0 K,24.4 K,240,80,13.3
2026-04-28 15:38:00,12.0 K,12.3 K,240,70.7,6.67
2026-04-28 15:39:00,0,319,0,66.7,6.67
2026-04-28 15:40:00,0,0,0,20.0,0
2026-04-28 15:41:00,0,0,0,20.0,0
2026-04-28 15:42:00,1.33,265,0,25.3,0
2026-04-28 15:43:00,1.33,265,0,25.3,0
2026-04-28 15:44:00,4,569,0,30.7,0
2026-04-28 15:45:00,2.67,304,0,25.3,0
2026-04-28 15:46:00,2.67,304,0,25.3,0
2026-04-28 15:47:00,1.33,300,0,42.7,6.67
2026-04-28 15:48:00,1.33,300,0,42.7,6.67
2026-04-28 15:49:00,1.33,300,0,42.7,6.67
2026-04-28 15:50:00,0,0,0,20.0,0
2026-04-28 15:51:00,0,0,0,20,0
2026-04-28 15:52:00,0,0,0,20.0,0
2026-04-28 15:53:00,2.67,305,0,25.3,0
2026-04-28 15:54:00,2.67,305,0,25.3,0
2026-04-28 15:55:00,4.00,305,0,25.3,0
2026-04-28 15:56:00,1.33,0,0,20.0,0
2026-04-28 15:57:00,1.33,0,0,20.0,0
2026-04-28 15:58:00,1.33,341,0,42.7,6.67
2026-04-28 15:59:00,1.33,341,0,42.7,6.67
2026-04-28 16:00:00,1.33,341,0,42.7,6.67
2026-04-28 16:01:00,0,0,0,20,0
2026-04-28 16:02:00,0,0,0,20,0
2026-04-28 16:03:00,2.67,308,0,25.3,0
2026-04-28 16:04:00,2.67,308,0,25.3,0
2026-04-28 16:05:00,4,308,0,25.3,0
2026-04-28 16:06:00,2.67,345,0,42.7,6.67
2026-04-28 16:07:00,2.67,345,0,42.7,6.67
2026-04-28 16:08:00,1.33,345,0,42.7,6.67
2026-04-28 16:09:00,1.33,327,0,42.7,6.67
2026-04-28 16:10:00,1.33,327,0,42.7,6.67
2026-04-28 16:11:00,1.33,327,0,42.7,6.67
2026-04-28 16:12:00,2.67,275,0,25.3,0
2026-04-28 16:13:00,2.67,275,0,25.3,0
2026-04-28 16:14:00,4,275,0,25.3,0
2026-04-28 16:15:00,1.33,0,0,20,0
2026-04-28 16:16:00,1.33,0,0,20.0,0
2026-04-28 16:17:00,1.33,351,0,29.3,0
2026-04-28 16:18:00,1.33,351,0,22.7,0
2026-04-28 16:19:00,1.33,351,0,42.7,6.67
2026-04-28 16:20:00,0,0,0,33.3,6.67
2026-04-28 16:21:00,0,0,0,40.0,6.67
2026-04-28 16:22:00,0,0,0,20.0,0
2026-04-28 16:23:00,2.67,313,0,25.3,0
2026-04-28 16:24:00,4.00,620,0,34.7,0
2026-04-28 16:25:00,4,620,0,28,0
2026-04-28 16:26:00,2.67,636,0,65.3,13.3
2026-04-28 16:27:00,1.33,329,0,56.0,13.3
2026-04-28 16:28:00,1.33,329,0,62.7,13.3
2026-04-28 16:29:00,0,0,0,20,0
2026-04-28 16:30:00,0,0,0,20,0
2026-04-28 16:31:00,0,0,0,20,0
2026-04-28 16:32:00,1.33,275,0,25.3,0
2026-04-28 16:33:00,1.33,275,0,25.3,0
2026-04-28 16:34:00,1.33,275,0,25.3,0
2026-04-28 16:35:00,5.33,313,0,25.3,0
2026-04-28 16:36:00,6.67,621,0,48.0,6.67
2026-04-28 16:37:00,6.67,621,0,48,6.67
2026-04-28 16:38:00,1.33,308,0,42.7,6.67
2026-04-28 16:39:00,0,0,0,20,0
2026-04-28 16:40:00,1.33,331,0,42.7,6.67
2026-04-28 16:41:00,1.33,331,0,42.7,6.67
2026-04-28 16:42:00,2.67,605,0,48,6.67
2026-04-28 16:43:00,1.33,275,0,25.3,0
2026-04-28 16:44:00,1.33,275,0,25.3,0
2026-04-28 16:45:00,2.67,312,0,25.3,0
2026-04-28 16:46:00,2.67,312,0,25.3,0
2026-04-28 16:47:00,2.67,312,0,25.3,0
2026-04-28 16:48:00,1.33,0,0,20.0,0
2026-04-28 16:49:00,1.33,0,0,20.0,0
2026-04-28 16:50:00,1.33,0,0,20,0
2026-04-28 16:51:00,0,0,0,20.0,0
2026-04-28 16:52:00,4.00,349,0,42.7,6.67
2026-04-28 16:53:00,4.00,660,0,48.0,6.67
2026-04-28 16:54:00,4.00,660,0,41.3,6.67
2026-04-28 16:55:00,2.67,691,0,50.7,9.33
2026-04-28 16:56:00,4.00,724,0,68.0,16.0
2026-04-28 16:57:00,4.00,724,0,74.7,16.0
2026-04-28 16:58:00,1.33,344,0,42.7,6.67
2026-04-28 16:59:00,0,0,0,20.0,0
2026-04-28 17:00:00,0,0,0,20,0
2026-04-28 17:01:00,0,0,0,20.0,0
2026-04-28 17:02:00,2.67,275,0,25.3,0
2026-04-28 17:03:00,4.00,585,0,30.7,0
2026-04-28 17:04:00,4,585,0,30.7,0
2026-04-28 17:05:00,1.33,311,0,25.3,0
2026-04-28 17:06:00,0,0,0,20,0
2026-04-28 17:07:00,0,0,0,20,0
2026-04-28 17:08:00,0,0,0,20,0
2026-04-28 17:09:00,0,0,0,20,0
2026-04-28 17:10:00,0,0,0,20,0
2026-04-28 17:11:00,0,0,0,20.0,0
2026-04-28 17:12:00,2.67,267,0,25.3,0
2026-04-28 17:13:00,4.00,533,0,30.7,0
2026-04-28 17:14:00,4.00,533,0,30.7,0
2026-04-28 17:15:00,2.67,267,0,25.3,0
2026-04-28 17:16:00,1.33,0,0,20.0,0
2026-04-28 17:17:00,1.33,0,0,20,0
2026-04-28 17:18:00,1.33,345,0,42.7,6.67
2026-04-28 17:19:00,1.33,345,0,42.7,6.67
2026-04-28 17:20:00,16.1 K,16.7 K,0,57.3,9.33
2026-04-28 17:21:00,23.4 K,23.7 K,213,53.3,6.67
2026-04-28 17:22:00,23.4 K,24.0 K,213,58.7,6.67
2026-04-28 17:23:00,7.31 K,7.66 K,213,44,4
2026-04-28 17:24:00,4.00,273,0,25.3,0
2026-04-28 17:25:00,1.33,0,0,20.0,0
2026-04-28 17:26:00,0,0,0,20.0,0
2026-04-28 17:27:00,0,0,0,20,0
2026-04-28 17:28:00,0,0,0,20.0,0
2026-04-28 17:29:00,0,0,0,20.0,0
2026-04-28 17:30:00,0,0,0,20.0,0
2026-04-28 17:31:00,0,0,0,20,0
2026-04-28 17:32:00,2.67,263,0,22.7,0
2026-04-28 17:33:00,2.67,263,0,16.0,0
2026-04-28 17:34:00,5.33,572,0,30.7,0
2026-04-28 17:35:00,4,309,0,28,0
2026-04-28 17:36:00,4.18,323,0,29.2,0
2026-04-28 17:37:00,1.79,0,0,18.7,0
2026-04-28 17:38:00,0,0,,14.8,
2026-04-28 17:39:00,0,0,,20.0,
2026-04-28 17:40:00,0,0,,20.0,
2026-04-28 17:41:00,0,0,,20.0,
2026-04-28 17:42:00,1.33,349,,42.7,
2026-04-28 17:43:00,1.33,349,,42.7,0
2026-04-28 17:44:00,2.81,415,,65.3,7.40
2026-04-28 17:45:00,1.33,65.3,,42.7,6.67
2026-04-28 17:46:00,1.33,65.3,,42.7,6.67
2026-04-28 17:47:00,0,0,,20,0
2026-04-28 17:48:00,0,0,,20,0
2026-04-28 17:49:00,0,0,,20,0
2026-04-28 17:50:00,0,0,,20,0
2026-04-28 17:51:00,0,0,,20.0,0
2026-04-28 17:52:00,4.00,60.0,,25.3,0
2026-04-28 17:53:00,4.00,60.0,,25.3,0
2026-04-28 17:54:00,4.00,60.0,,25.3,0
2026-04-28 17:55:00,0,0,,20.0,0
2026-04-28 17:56:00,3.92,0,,20.0,0
2026-04-28 17:57:00,2.96,0,,20,0
2026-04-28 17:58:00,2.67,0,,20,0
2026-04-28 17:59:00,0,0,,20,0
2026-04-28 18:00:00,0,0,,20,0
2026-04-28 18:01:00,0,0,,20.0,0
2026-04-28 18:02:00,4.00,58.7,,25.3,0
2026-04-28 18:03:00,5.33,58.7,,25.3,0
2026-04-28 18:04:00,5.33,58.7,,25.3,0
2026-04-28 18:05:00,1.33,0,,20.0,0
2026-04-28 18:06:00,0,0,,20,0
2026-04-28 18:07:00,0,0,,20.0,0
2026-04-28 18:08:00,1.33,85.3,,42.7,6.67
2026-04-28 18:09:00,2.67,148,,65.3,13.3
2026-04-28 18:10:00,2.67,148,,65.3,13.3
2026-04-28 18:11:00,1.33,62.7,,42.7,6.67
2026-04-28 18:12:00,1.33,14.7,,25.3,0
2026-04-28 18:13:00,1.33,14.7,,25.3,0
2026-04-28 18:14:00,4,72,,30.7,0
2026-04-28 18:15:00,2.67,57.3,,25.3,0
2026-04-28 18:16:00,2.67,57.3,,25.3,0
2026-04-28 18:17:00,0,0,,20.0,0
2026-04-28 18:18:00,1.33,82.7,,45.3,9.33
2026-04-28 18:19:00,1.33,82.7,,45.3,9.33
2026-04-28 18:20:00,1.33,82.7,,45.3,9.33
2026-04-28 18:21:00,0,0,,20.0,0
2026-04-28 18:22:00,4.00,58.7,,25.3,0
2026-04-28 18:23:00,4.00,58.7,,25.3,0
2026-04-28 18:24:00,4.00,58.7,,25.3,0
2026-04-28 18:25:00,0,0,,20.0,0
2026-04-28 18:26:00,0,0,,20.0,0
2026-04-28 18:27:00,0,0,,20,0
2026-04-28 18:28:00,0,0,,20,0
2026-04-28 18:29:00,0,0,,20,0
2026-04-28 18:30:00,0,0,,20,0
2026-04-28 18:31:00,0,0,,20,0
2026-04-28 18:32:00,4,57.3,,25.3,0
2026-04-28 18:33:00,4.00,57.3,,25.3,0
2026-04-28 18:34:00,4.00,57.3,,25.3,0
2026-04-28 18:35:00,0,0,,20.0,0
2026-04-28 18:36:00,1.33,81.3,,45.3,9.33
2026-04-28 18:37:00,1.33,81.3,,45.3,9.33
2026-04-28 18:38:00,1.33,81.3,,45.3,9.33
2026-04-28 18:39:00,0,0,,20,0
2026-04-28 18:40:00,0,0,,20,0
2026-04-28 18:41:00,0,0,,20.0,0
2026-04-28 18:42:00,2.67,57.3,,25.3,0
2026-04-28 18:43:00,2.67,57.3,,25.3,0
2026-04-28 18:44:00,2.67,57.3,,25.3,0
2026-04-28 18:45:00,0,0,,20,0
2026-04-28 18:46:00,0,0,,20,0
2026-04-28 18:47:00,0,0,,20,0
2026-04-28 18:48:00,0,0,,20.0,0
2026-04-28 18:49:00,0,0,,20.0,0
2026-04-28 18:50:00,0,0,,20.0,0
2026-04-28 18:51:00,1.33,46.7,,42.7,6.67
2026-04-28 18:52:00,5.33,104,,48.0,6.67
2026-04-28 18:53:00,5.33,104,,48.0,6.67
2026-04-28 18:54:00,4,57.3,,25.3,0
2026-04-28 18:55:00,0,0,,20,0
2026-04-28 18:56:00,0,0,,20,0
2026-04-28 18:57:00,0,0,,20,0
2026-04-28 18:58:00,0,0,,20,0
2026-04-28 18:59:00,1.33,46.7,,42.7,6.67
2026-04-28 19:00:00,1.33,46.7,,42.7,6.67
2026-04-28 19:01:00,1.33,46.7,,42.7,6.67
2026-04-28 19:02:00,4,57.3,,25.3,0
2026-04-28 19:03:00,5.33,57.3,,25.3,0
2026-04-28 19:04:00,5.33,57.3,,25.3,0
2026-04-28 19:05:00,2.67,88,,42.7,6.67
2026-04-28 19:06:00,1.33,88,,42.7,6.67
2026-04-28 19:07:00,1.33,88.0,,42.7,6.67
2026-04-28 19:08:00,0,0,,20.0,0
2026-04-28 19:09:00,1.33,54.7,,42.7,6.67
2026-04-28 19:10:00,1.33,54.7,,42.7,6.67
2026-04-28 19:11:00,1.33,54.7,,42.7,6.67
2026-04-28 19:12:00,5.33,60,,42.7,6.67
2026-04-28 19:13:00,5.33,111,,48,6.67
2026-04-28 19:14:00,5.33,111,,48,6.67
2026-04-28 19:15:00,0,50.7,,25.3,0
2026-04-28 19:16:00,0,0,,20,0
2026-04-28 19:17:00,0,0,,20.0,0
2026-04-28 19:18:00,15.1 K,15.7 K,,34.7,2.67
2026-04-28 19:19:00,19.7 K,20.3 K,,53.3,6.67
2026-04-28 19:20:00,19.7 K,20.3 K,0,53.3,6.67
2026-04-28 19:21:00,5.30 K,5.32 K,0,38.7,4
2026-04-28 19:22:00,2.67,20,0,25.3,0
2026-04-28 19:23:00,4,20,0,25.3,0
2026-04-28 19:24:00,4,20,0,25.3,0
2026-04-28 19:25:00,2.67,89.3,0,42.7,6.67
2026-04-28 19:26:00,2.67,155,0,65.3,13.3
2026-04-28 19:27:00,2.67,155,0,65.3,13.3
2026-04-28 19:28:00,1.33,65.3,0,42.7,6.67
2026-04-28 19:29:00,0,0,0,20.0,0
2026-04-28 19:30:00,0,0,0,20.0,0
2026-04-28 19:31:00,0,0,0,20.0,0
2026-04-28 19:32:00,2.67,20.0,0,25.3,0
2026-04-28 19:33:00,5.33,109,0,48.0,6.67
2026-04-28 19:34:00,5.33,109,0,48.0,6.67
2026-04-28 19:35:00,2.67,89.3,0,42.7,6.67
2026-04-28 19:36:00,0,0,0,20.0,0
2026-04-28 19:37:00,0,0,0,20.0,0
2026-04-28 19:38:00,0,0,0,20.0,0
2026-04-28 19:39:00,0,0,0,20.0,0
2026-04-28 19:40:00,0,0,0,20.0,0
2026-04-28 19:41:00,0,0,0,20.0,0
2026-04-28 19:42:00,1.33,10.7,0,25.3,0
2026-04-28 19:43:00,1.33,10.7,0,25.3,0
2026-04-28 19:44:00,4,68,0,30.7,0
2026-04-28 19:45:00,2.67,57.3,0,25.3,0
2026-04-28 19:46:00,2.67,57.3,0,25.3,0
2026-04-28 19:47:00,0,0,0,20,0
2026-04-28 19:48:00,0,0,0,20.0,0
2026-04-28 19:49:00,0,0,0,20.0,0
2026-04-28 19:50:00,1.33,46.7,0,42.7,6.67
2026-04-28 19:51:00,1.33,46.7,0,42.7,6.67
2026-04-28 19:52:00,4,64,0,48,6.67
2026-04-28 19:53:00,4,17.3,0,25.3,0
2026-04-28 19:54:00,5.33,17.3,0,25.3,0
2026-04-28 19:55:00,2.67,0,0,20,0
2026-04-28 19:56:00,1.33,0,0,20,0
2026-04-28 19:57:00,0,0,0,20.0,0
2026-04-28 19:58:00,1.33,89.3,0,42.7,6.67
2026-04-28 19:59:00,1.33,89.3,0,42.7,6.67
2026-04-28 20:00:00,1.33,89.3,0,42.7,6.67
2026-04-28 20:01:00,0,0,0,20,0
2026-04-28 20:02:00,2.67,17.3,0,25.3,0
2026-04-28 20:03:00,4.00,17.3,0,25.3,0
2026-04-28 20:04:00,4.00,17.3,0,25.3,0
2026-04-28 20:05:00,1.33,0,0,20.0,0
2026-04-28 20:06:00,0,0,0,20.0,0
2026-04-28 20:07:00,0,0,0,20.0,0
2026-04-28 20:08:00,0,0,0,20,0
2026-04-28 20:09:00,0,0,0,20,0
2026-04-28 20:10:00,0,0,0,20.0,0
2026-04-28 20:11:00,0,0,0,20.0,0
2026-04-28 20:12:00,2.67,58.7,0,25.3,0
2026-04-28 20:13:00,4,58.7,0,25.3,0
2026-04-28 20:14:00,4.00,58.7,0,25.3,0
2026-04-28 20:15:00,1.33,0,0,20.0,0
2026-04-28 20:16:00,0,0,0,20.0,0
2026-04-28 20:17:00,0,0,0,20,0
2026-04-28 20:18:00,0,0,0,20,0
2026-04-28 20:19:00,1.33,88,0,42.7,6.67
2026-04-28 20:20:00,1.33,88,0,42.7,6.67
2026-04-28 20:21:00,1.33,88,0,42.7,6.67
2026-04-28 20:22:00,2.67,56.0,0,25.3,0
2026-04-28 20:23:00,4,103,0,48,6.67
2026-04-28 20:24:00,4,103,0,48,6.67
2026-04-28 20:25:00,1.33,46.7,0,42.7,6.67
2026-04-28 20:26:00,0,0,0,20.0,0
2026-04-28 20:27:00,0,0,0,20.0,0
2026-04-28 20:28:00,0,0,0,20,0
2026-04-28 20:29:00,0,0,0,20,0
2026-04-28 20:30:00,1.33,64.0,0,42.7,6.67
2026-04-28 20:31:00,1.33,64.0,0,42.7,6.67
2026-04-28 20:32:00,2.67,82.7,0,48.0,6.67
2026-04-28 20:33:00,1.33,18.7,0,25.3,0
2026-04-28 20:34:00,2.67,18.7,0,25.3,0
2026-04-28 20:35:00,1.33,0,0,20.0,0
2026-04-28 20:36:00,1.33,0,0,20.0,0
2026-04-28 20:37:00,0,0,0,20.0,0
2026-04-28 20:38:00,17.3 K,17.4 K,0,34.7,2.67
2026-04-28 20:39:00,22.4 K,22.5 K,300,53.3,6.67
2026-04-28 20:40:00,22.4 K,22.5 K,300,53.3,6.67
2026-04-28 20:41:00,5.04 K,5.04 K,300,38.7,4
2026-04-28 20:42:00,4,57.3,0,25.3,0
2026-04-28 20:43:00,4,57.3,0,25.3,0
2026-04-28 20:44:00,5.33,103,0,48,6.67
2026-04-28 20:45:00,1.33,45.3,0,42.7,6.67
2026-04-28 20:46:00,1.33,45.3,0,42.7,6.67
2026-04-28 20:47:00,0,0,0,20.0,0
2026-04-28 20:48:00,0,0,0,20.0,0
2026-04-28 20:49:00,0,0,0,20.0,0
2026-04-28 20:50:00,0,0,0,20,0
2026-04-28 20:51:00,0,0,0,20,0
2026-04-28 20:52:00,4,57.3,0,25.3,0
2026-04-28 20:53:00,4,57.3,0,25.3,0
2026-04-28 20:54:00,4,57.3,0,25.3,0
2026-04-28 20:55:00,1.33,46.7,0,42.7,6.67
2026-04-28 20:56:00,1.33,46.7,0,42.7,6.67
2026-04-28 20:57:00,2.67,112,0,65.3,13.3
2026-04-28 20:58:00,1.33,65.3,0,42.7,6.67
2026-04-28 20:59:00,1.33,65.3,0,42.7,6.67
2026-04-28 21:00:00,1.33,80.0,0,42.7,6.67
2026-04-28 21:01:00,1.33,80.0,0,42.7,6.67
2026-04-28 21:02:00,5.33,139,0,48,6.67
2026-04-28 21:03:00,5.33,58.7,0,25.3,0
2026-04-28 21:04:00,5.33,58.7,0,25.3,0
2026-04-28 21:05:00,1.33,0,0,20.0,0
2026-04-28 21:06:00,0,0,0,20.0,0
2026-04-28 21:07:00,0,0,0,20.0,0
2026-04-28 21:08:00,0,0,0,20,0
2026-04-28 21:09:00,0,0,0,20,0
2026-04-28 21:10:00,0,0,0,20,0
2026-04-28 21:11:00,0,0,0,20,0
2026-04-28 21:12:00,2.67,57.3,0,25.3,0
2026-04-28 21:13:00,2.67,57.3,0,25.3,0
2026-04-28 21:14:00,4.00,57.3,0,25.3,0
2026-04-28 21:15:00,2.67,86.7,0,42.7,6.67
2026-04-28 21:16:00,2.67,86.7,0,42.7,6.67
2026-04-28 21:17:00,2.67,151,0,65.3,13.3
2026-04-28 21:18:00,2.67,153,0,65.3,13.3
2026-04-28 21:19:00,2.67,153,0,65.3,13.3