"Time","get_range / B","get / B","head / B","list / A","put_multipart / A","put / A"
2026-05-03 17:52:00,0,0,0,0,0,0
2026-05-03 17:53:00,0,0,0,0,0,0
2026-05-03 17:54:00,0,0,0,0,0,0
2026-05-03 17:55:00,0,0,0,0,0,0
2026-05-03 18:12:00,,400,,215,0,4.92
2026-05-03 18:13:00,,310,,173,0,4
2026-05-03 18:14:00,,310,,173,0,4
2026-05-03 18:15:00,,300,,139,0,3.06
2026-05-03 18:22:00,70,211,,153,0,0
2026-05-03 18:23:00,70,211,,153,0,0
2026-05-03 18:24:00,70,211,,153,0,0
2026-05-03 18:25:00,54.8,193,,125,0,0
2026-05-03 18:33:00,56.5,601,,143,1.50,0
2026-05-03 18:34:00,56.5,601,,143,1.50,0
2026-05-03 18:35:00,56.5,571,,122,1.27,0
2026-05-03 18:36:00,56.5,191,,63.1,0,0
2026-05-03 18:42:00,58.0,196,,119,0,0
2026-05-03 18:43:00,58.0,196,,119,0,0
2026-05-03 18:44:00,58.0,196,,119,0,0
2026-05-03 18:45:00,58.0,196,,97.7,0,0
2026-05-03 18:52:00,163,209,,68,0,0
2026-05-03 18:53:00,163,209,,68,0,0
2026-05-03 18:54:00,163,209,,68,0,0
2026-05-03 18:55:00,155,201,,55.4,0,0
2026-05-03 19:02:00,0,77,0,30,0,0
2026-05-03 19:03:00,0,77,0,30,0,0
2026-05-03 19:04:00,0,77,0,30,0,0
2026-05-03 19:05:00,0,77,0,25.9,0,0
2026-05-03 19:12:00,0,14.5,0,22,0,0
2026-05-03 19:13:00,0,14.5,0,22,0,0
2026-05-03 19:14:00,0,14.5,0,22,0,0
2026-05-03 19:15:00,0,14.5,0,20.7,0,0
2026-05-03 19:22:00,,343,,151,0,19.5
2026-05-03 19:23:00,,343,,151,0,19.5
2026-05-03 19:24:00,,343,,151,0,19.5
2026-05-03 19:25:00,,307,,122,0,17.0
2026-05-03 19:51:00,37.3,259,0,128,,8.55
2026-05-03 19:52:00,37.3,259,0,128,,8.55
2026-05-03 19:53:00,37.3,259,0,128,,8.55
2026-05-03 19:54:00,37.3,259,0,128,,8.55
2026-05-03 20:01:00,,111,,30.5,0,
2026-05-03 20:02:00,0,425,6.00,133,0,16.7
2026-05-03 20:03:00,0,425,6.00,133,0,16.7
2026-05-03 20:04:00,0,425,6.00,133,0,16.7
2026-05-03 20:05:00,0,333,6.00,108,0,16.7
2026-05-03 20:11:00,0,486,0,121,0,17.7
2026-05-03 20:12:00,0,490,0,122,0,17.9
2026-05-03 20:13:00,0,490,0,122,0,17.9
2026-05-03 20:14:00,0,490,0,122,0,17.9
2026-05-03 20:21:00,0,514,0,130,1.12,19.2
2026-05-03 20:22:00,0,514,0,130,1.12,19.2
2026-05-03 20:23:00,0,514,0,130,1.12,19.2
2026-05-03 20:24:00,0,514,0,130,1.12,19.2
2026-05-03 20:31:00,,367,,71.5,0,19.3
2026-05-03 20:32:00,0,445,0,138,0,13.1
2026-05-03 20:33:00,0,445,0,138,0,13.1
2026-05-03 20:34:00,0,445,0,138,0,13.1
2026-05-03 20:35:00,0,65.5,0,31.6,0,0
2026-05-03 20:41:00,10.5,516,0,134,0,20.3
2026-05-03 20:42:00,10.5,516,0,134,0,20.3
2026-05-03 20:43:00,10.5,516,0,134,0,20.3
2026-05-03 20:44:00,10.5,516,0,134,0,20.3
2026-05-03 20:51:00,45.6,550,0,142,0,16.8
2026-05-03 20:52:00,45.6,550,0,142,0,16.8
2026-05-03 20:53:00,45.6,550,0,142,0,16.8
2026-05-03 20:54:00,45.6,550,0,142,0,16.8
2026-05-03 21:01:00,0,497,0,126,1.13,18.8
2026-05-03 21:02:00,0,486,0,123,1.10,17.8
2026-05-03 21:03:00,0,486,0,123,1.10,17.8
2026-05-03 21:04:00,0,486,0,123,1.10,17.8
2026-05-03 21:11:00,0,510,0,128,0,13.4
2026-05-03 21:12:00,0,510,0,128,0,13.4
2026-05-03 21:13:00,0,510,0,128,0,13.4
2026-05-03 21:14:00,0,510,0,128,0,13.4
2026-05-03 21:21:00,0,467,0,117,0,9.67
2026-05-03 21:22:00,0,467,0,117,0,9.67
2026-05-03 21:23:00,0,467,0,117,0,9.67
2026-05-03 21:24:00,0,467,0,117,0,9.67
2026-05-03 21:31:00,0,499,0,129,0,19.7
2026-05-03 21:32:00,0,499,0,129,0,19.7
2026-05-03 21:33:00,0,499,0,129,0,19.7
2026-05-03 21:34:00,0,499,0,129,0,19.7
2026-05-03 21:41:00,47.5,538,0,139,0,9.80
2026-05-03 21:42:00,47.5,538,0,139,0,9.80
2026-05-03 21:43:00,47.5,538,0,139,0,9.80
2026-05-03 21:44:00,47.5,538,0,139,0,9.80
2026-05-03 21:51:00,0,463,0,130,0,13.0
2026-05-03 21:52:00,0,463,0,130,0,13.0
2026-05-03 21:53:00,0,463,0,130,0,13.0
2026-05-03 21:54:00,0,463,0,130,0,13.0
2026-05-03 22:01:00,0,514,0,127,1.14,16.2
2026-05-03 22:02:00,0,514,0,127,1.14,16.2
2026-05-03 22:03:00,0,514,0,127,1.14,16.2
2026-05-03 22:04:00,0,514,0,127,1.14,16.2
2026-05-03 22:11:00,55.5,466,0,132,0,21.0
2026-05-03 22:12:00,55.5,466,0,132,0,21.0
2026-05-03 22:13:00,55.5,466,0,132,0,21.0
2026-05-03 22:14:00,55.5,466,0,132,0,21.0
2026-05-03 22:21:00,44,552,0,129,1.14,12.2
2026-05-03 22:22:00,44,552,0,129,1.14,12.2
2026-05-03 22:23:00,44,552,0,129,1.14,12.2